level,group,scenario,n_anuncios,diaria_ajustada,in_ranking,bootstrap_reps_requested,bootstrap_reps_valid,ci_insuficiente,rank,rank_delta
perfil,3. apartamento (3q+),todos,464,792.5270809094736,True,1000,1000,False,1.0,0.0
perfil,4. casa,todos,70,624.6816332860689,True,1000,1000,False,2.0,0.0
perfil,2. apartamento (2q),todos,333,542.1173007302375,True,1000,1000,False,3.0,0.0
perfil,1. apartamento compacto (0-1q),todos,114,507.20574042892594,True,1000,1000,False,4.0,0.0
perfil,hotel/outros,todos,18,203.20119402424365,False,1000,1000,False,,
bairro,varzea,todos,5,1021.6986007104455,False,1000,989,False,,
bairro,canto da praia,todos,9,917.4894584752305,False,1000,1000,False,,
bairro,sertaozinho,todos,6,815.6639170506912,False,1000,1000,False,,
bairro,meia praia,todos,632,673.6476570226426,True,1000,1000,False,1.0,0.0
bairro,tabuleiro dos oliveiras,todos,20,663.0860737711214,True,1000,1000,False,2.0,0.0
bairro,centro,todos,205,616.0345716042626,True,1000,1000,False,3.0,0.0
bairro,ilhota,todos,10,541.4607046582181,False,1000,1000,False,,
bairro,morretes,todos,83,525.2376606256646,True,1000,1000,False,4.0,0.0
bairro,sertao do trombudo,todos,3,464.71979879439556,False,1000,1000,False,,
bairro,alto sao bento,todos,5,393.4823156682028,False,1000,920,True,,
bairro,casa branca,todos,15,373.0622503571429,False,1000,1000,False,,
bairro,leopoldo zarling,todos,1,210.3816052764977,False,1000,1000,False,,
bairro,jardim praiamar,todos,1,193.03846153846155,False,1000,1000,False,,
bairro,areal,todos,1,,False,1000,0,True,,
perfil,3. apartamento (3q+),cobertura>=25,405,794.7421712690535,True,1000,1000,False,1.0,0.0
perfil,4. casa,cobertura>=25,62,627.7556374069479,True,1000,1000,False,2.0,0.0
perfil,2. apartamento (2q),cobertura>=25,299,545.189172192928,True,1000,1000,False,3.0,0.0
perfil,1. apartamento compacto (0-1q),cobertura>=25,108,509.3424121375399,True,1000,1000,False,4.0,0.0
