segmento,variancia,n_viva,mediana_preco,diaria_pontual,rendimento_60,ci_rend60_025,ci_rend60_975,bootstrap_reps_requested,bootstrap_reps_valid,ci_insuficiente
centro | 2. apartamento (2q),sensibilidade_todos,89,1150000.0,711.2257918631248,0.13544212905915157,0.11063158774992701,0.15309765394434927,1000,1000,False
centro | 3. apartamento (3q+),sensibilidade_todos,871,2798800.0,822.482631139593,0.06435747328125298,0.057413215534053444,0.07401670985958214,1000,1000,False
meia praia | 1. apartamento compacto (0-1q),sensibilidade_todos,58,877500.0,534.7426506758833,0.13345714016868196,0.1133353577246069,0.1439303424480354,1000,1000,False
meia praia | 2. apartamento (2q),sensibilidade_todos,243,1080000.0,533.0085947425559,0.10808229837835162,0.10092494789174902,0.11797195731236243,1000,1000,False
meia praia | 3. apartamento (3q+),sensibilidade_todos,3100,2500000.0,789.9823648313984,0.0692024551592305,0.06582387516122416,0.07304311573836174,1000,1000,False
morretes | 2. apartamento (2q),sensibilidade_todos,1037,790000.0,501.9688205778093,0.13915338190701296,0.12919287436279725,0.150018406776774,1000,1000,False
centro | 2. apartamento (2q),principal_False,87,1150000.0,711.2257918631248,0.13544212905915157,0.10977220225184849,0.1577981055522694,1000,1000,False
centro | 3. apartamento (3q+),principal_False,808,2696500.0,822.482631139593,0.06679907147026547,0.05959991387766067,0.07552039769018393,1000,1000,False
meia praia | 1. apartamento compacto (0-1q),principal_False,55,875000.0,534.7426506758833,0.13383844628344962,0.11264674674300897,0.1435296278435518,1000,1000,False
meia praia | 2. apartamento (2q),principal_False,241,1070000.0,533.0085947425559,0.10909241331646705,0.10131201063020259,0.11821817747397499,1000,1000,False
meia praia | 3. apartamento (3q+),principal_False,2835,2380000.0,789.9823648313984,0.07269165457902363,0.06919956855902398,0.07716077932562171,1000,1000,False
morretes | 2. apartamento (2q),principal_False,1019,789550.0,501.9688205778093,0.13923269166808971,0.12873541719720233,0.1509979834563847,1000,1000,False
