bairro,perfil,segmento,n_inventario,n_airbnb_precificados,pct_inventario_precificado,pares_listing_data,mediana_cobertura,n_datas,n_meses,diaria_anunciada_ajustada,n_viva_bruto,n_viva_elegiveis,mediana_preco_aquisicao,p25_preco,p75_preco,mediana_pm2,mediana_area,cobertura_condo,cobertura_iptu,eligible_for_ranking,motivo_inelegivel,receita_60,rendimento_60,payback_60,receita_50,rendimento_50,payback_50,receita_75,rendimento_75,payback_75,potencial_bruto_105dias_100pct,ci_rend60_025,ci_rend60_975,bootstrap_reps_requested,bootstrap_reps_valid,ci_insuficiente,maior_proprietario_share,iqr_preco_aquisicao,top3_primary,top3_outlier_sensitivity,top3_price_p25,top3_price_median,top3_price_p75,shortlist_candidate,shortlist_selected,shortlist_order,shortlist_reason
alto sao bento,1. apartamento compacto (0-1q),alto sao bento | 1. apartamento compacto (0-1q),5,2,40.0,135,0.6428571428571428,85,4,250.55731566820276,0,0,,,,,,,,False,airbnb<20; vivareal<30; preco_inv,54872.05213133641,,,45726.710109447005,,,68590.0651641705,,,26308.51814516129,,,1000,0,True,0.5,,False,False,False,False,False,False,False,,
alto sao bento,2. apartamento (2q),alto sao bento | 2. apartamento (2q),21,1,4.761904761904762,48,0.4571428571428571,48,2,,35,34,606968.0,549000.0,672300.0,9267.028985507246,65.5,0.5882352941176471,0.7352941176470589,False,airbnb<20; meses<4; diaria_inv,,,,,,,,,,,,,1000,0,True,1.0,123300.0,False,False,False,False,False,False,False,,
alto sao bento,3. apartamento (3q+),alto sao bento | 3. apartamento (3q+),3,0,0.0,0,,0,0,,0,0,,,,,,,,False,airbnb<20; vivareal<30; meses<4; diaria_inv; preco_inv,,,,,,,,,,,,,1000,0,True,,,False,False,False,False,False,False,False,,
alto sao bento,4. casa,alto sao bento | 4. casa,24,2,8.333333333333334,105,0.5,92,4,1742.017436594203,16,15,626070.0,564830.0,769725.0,7210.526315789473,88.0,0.6,0.4666666666666667,False,airbnb<20; vivareal<30,381501.81861413043,0.6093596860001764,1.6410668821299585,317918.182178442,0.5077997383334804,1.9692802585559503,476877.273267663,0.7616996075002205,1.3128535057039667,182911.83084239133,,,1000,0,True,0.5,204895.0,False,False,False,False,False,False,False,,
alto sao bento,5. hotel/outros,alto sao bento | 5. hotel/outros,9,0,0.0,0,,0,0,,0,0,,,,,,,,False,airbnb<20; vivareal<30; meses<4; diaria_inv; preco_inv,,,,,,,,,,,,,1000,0,True,,,False,False,False,False,False,False,False,,
areal,4. casa,areal | 4. casa,4,1,25.0,37,0.3523809523809524,37,3,,0,0,,,,,,,,False,airbnb<20; vivareal<30; meses<4; diaria_inv; preco_inv,,,,,,,,,,,,,1000,0,True,1.0,,False,False,False,False,False,False,False,,
areal,5. hotel/outros,areal | 5. hotel/outros,1,0,0.0,0,,0,0,,0,0,,,,,,,,False,airbnb<20; vivareal<30; meses<4; diaria_inv; preco_inv,,,,,,,,,,,,,1000,0,True,,,False,False,False,False,False,False,False,,
canto da praia,1. apartamento compacto (0-1q),canto da praia | 1. apartamento compacto (0-1q),1,0,0.0,0,,0,0,,7,6,785000.0,735000.0,797500.0,14610.344827586207,49.5,0.3333333333333333,0.5,False,airbnb<20; vivareal<30; meses<4; diaria_inv,,,,,,,,,,,,,1000,0,True,,62500.0,False,False,False,False,False,False,False,,
canto da praia,2. apartamento (2q),canto da praia | 2. apartamento (2q),7,4,57.142857142857146,220,0.5904761904761905,90,4,559.0303452987537,14,13,1225000.0,1216999.0,1452000.0,14459.770114942528,88.0,1.0,0.9230769230769231,False,airbnb<20; vivareal<30,122427.64562042704,0.09994093520034861,10.00590997067748,102023.03801702254,0.08328411266695718,12.007091964812975,153034.5570255338,0.12492616900043577,8.004727976541984,58698.18625636914,,,1000,0,True,0.25,235001.0,False,False,False,False,False,False,False,,
canto da praia,3. apartamento (3q+),canto da praia | 3. apartamento (3q+),1,1,100.0,28,0.2666666666666666,28,3,,82,73,1800000.0,1550000.0,2349900.0,15085.0,116.0,0.6575342465753424,0.6301369863013698,False,airbnb<20; meses<4; diaria_inv,,,,,,,,,,,,,1000,0,True,1.0,799900.0,False,False,False,False,False,False,False,,
canto da praia,4. casa,canto da praia | 4. casa,17,4,23.529411764705884,324,0.7904761904761906,91,4,1063.6279360167052,27,6,3375000.0,2950000.0,3800000.0,12089.604369086175,284.0,1.0,1.0,False,airbnb<20; vivareal<30,232934.51798765844,0.06901763495930621,14.489050524400241,194112.0983230487,0.05751469579942184,17.38686062928029,291168.14748457307,0.08627204369913276,11.591240419520192,111680.93328175406,,,1000,0,True,0.25,850000.0,False,False,False,False,False,False,False,,
canto da praia,5. hotel/outros,canto da praia | 5. hotel/outros,2,0,0.0,0,,0,0,,0,0,,,,,,,,False,airbnb<20; vivareal<30; meses<4; diaria_inv; preco_inv,,,,,,,,,,,,,1000,0,True,,,False,False,False,False,False,False,False,,
casa branca,1. apartamento compacto (0-1q),casa branca | 1. apartamento compacto (0-1q),5,0,0.0,0,,0,0,,0,0,,,,,,,,False,airbnb<20; vivareal<30; meses<4; diaria_inv; preco_inv,,,,,,,,,,,,,1000,0,True,,,False,False,False,False,False,False,False,,
casa branca,2. apartamento (2q),casa branca | 2. apartamento (2q),53,11,20.754716981132077,667,0.6,93,4,342.97453434331794,20,20,655000.0,588500.0,717250.0,9714.285714285714,69.5,0.55,0.6,False,airbnb<20; vivareal<30,75111.42302118662,0.1146739282766208,8.720377988515072,62592.85251765553,0.09556160689718401,10.464453586218085,93889.27877648329,0.14334241034577602,6.976302390812056,36012.326106048386,,,1000,0,True,0.18181818181818182,128750.0,False,False,False,False,False,False,False,,
casa branca,3. apartamento (3q+),casa branca | 3. apartamento (3q+),5,2,40.0,128,0.6095238095238096,96,4,446.50169507319055,7,7,778000.0,732557.0,1412266.0,10658.771428571428,70.0,0.42857142857142855,0.42857142857142855,False,airbnb<20; vivareal<30,97783.87122102873,0.12568620979566675,7.956322349331253,81486.55935085728,0.10473850816305563,9.547586819197504,122229.83902628592,0.15710776224458345,6.365057879465002,46882.67798268501,,,1000,0,True,0.5,679709.0,False,False,False,False,False,False,False,,
casa branca,4. casa,casa branca | 4. casa,19,2,10.526315789473685,68,0.3238095238095238,68,3,,38,38,3489825.0,1116750.0,6999000.0,12556.22636554622,272.0,0.7105263157894737,0.7105263157894737,False,airbnb<20; meses<4; diaria_inv,,,,,,,,,,,,,1000,0,True,0.5,5882250.0,False,False,False,False,False,False,False,,
casa branca,5. hotel/outros,casa branca | 5. hotel/outros,6,0,0.0,0,,0,0,,0,0,,,,,,,,False,airbnb<20; vivareal<30; meses<4; diaria_inv; preco_inv,,,,,,,,,,,,,1000,0,True,,,False,False,False,False,False,False,False,,
centro,1. apartamento compacto (0-1q),centro | 1. apartamento compacto (0-1q),118,78,66.10169491525424,5732,0.7333333333333333,105,4,505.6480104572846,22,21,890000.0,650000.0,980000.0,16250.0,42.0,0.6190476190476191,0.47619047619047616,False,vivareal<30,110736.91429014533,0.12442349920241048,8.037067004306103,92280.76190845444,0.10368624933534207,9.644480405167323,138421.14286268165,0.1555293740030131,6.429653603444883,53093.04109801488,,,1000,0,True,0.6923076923076923,330000.0,False,False,False,False,False,False,False,,
