bairro,perfil,n_bruto_dedup,n_sale_price_valido,n_area_pm2_validos,n_elegiveis_principal,n_elegiveis_sensibilidade,pct_elegivel_principal,mediana_sale,p25_sale,p75_sale,mediana_pm2,p25_pm2,p75_pm2,mediana_area,cobertura_condo,cobertura_iptu
alto sao bento,2. apartamento (2q),35,35,35,34,35,97.14285714285714,606968.0,549000.0,672300.0,9267.028985507246,8355.072463768116,10458.333333333334,65.5,0.5882352941176471,0.7352941176470589
alto sao bento,4. casa,16,16,16,15,16,93.75,626070.0,564830.0,769725.0,7210.526315789473,6773.5,7938.995618469835,88.0,0.6,0.4666666666666667
alto sao bento,sem comparável,15,0,0,0,0,0.0,,,,,,,,,
andorinha,1. apartamento compacto (0-1q),8,8,8,8,8,100.0,679500.0,641703.0,711906.0,14735.023255813954,14071.180555555555,17683.320731707317,43.0,0.875,0.875
andorinha,2. apartamento (2q),68,68,68,67,68,98.52941176470588,970000.0,849615.0,1115792.5,11223.529411764706,10635.604632372744,13653.90014916206,83.0,0.7761194029850746,0.6865671641791045
andorinha,3. apartamento (3q+),680,680,680,643,680,94.55882352941177,1852664.0,1512912.5,2350000.0,14014.598540145986,11870.213323605341,15833.333333333334,130.0,0.7216174183514774,0.6749611197511665
andorinha,4. casa,9,9,9,0,9,0.0,,,,,,,,,
andorinha,sem comparável,14,0,0,0,0,0.0,,,,,,,,,
canto da praia,1. apartamento compacto (0-1q),7,7,7,6,7,85.71428571428571,785000.0,735000.0,797500.0,14610.344827586207,13641.379310344826,15750.0,49.5,0.3333333333333333,0.5
canto da praia,2. apartamento (2q),14,14,14,13,14,92.85714285714286,1225000.0,1216999.0,1452000.0,14459.770114942528,13988.505747126435,16500.0,88.0,1.0,0.9230769230769231
canto da praia,3. apartamento (3q+),82,82,82,73,82,89.02439024390245,1800000.0,1550000.0,2349900.0,15085.0,13339.92,17000.0,116.0,0.6575342465753424,0.6301369863013698
canto da praia,4. casa,27,27,27,6,27,22.22222222222222,3375000.0,2950000.0,3800000.0,12089.604369086175,10826.475966562173,13371.735308890005,284.0,1.0,1.0
canto da praia,sem comparável,1,0,0,0,0,0.0,,,,,,,,,
casa branca,2. apartamento (2q),20,20,20,20,20,100.0,655000.0,588500.0,717250.0,9714.285714285714,8821.42857142857,10625.0,69.5,0.55,0.6
casa branca,3. apartamento (3q+),7,7,7,7,7,100.0,778000.0,732557.0,1412266.0,10658.771428571428,10398.60902255639,11447.371428571429,70.0,0.42857142857142855,0.42857142857142855
casa branca,4. casa,38,38,38,38,38,100.0,3489825.0,1116750.0,6999000.0,12556.22636554622,7273.185483870968,17416.54571843251,272.0,0.7105263157894737,0.7105263157894737
casa branca,sem comparável,30,0,0,0,0,0.0,,,,,,,,,
castelo branco,1. apartamento compacto (0-1q),1,1,1,0,1,0.0,,,,,,,,,
castelo branco,2. apartamento (2q),60,60,60,59,60,98.33333333333333,1050000.0,883195.0,1200000.0,11862.5,9708.490566037737,13625.0,87.0,0.7966101694915254,0.6949152542372882
castelo branco,3. apartamento (3q+),431,431,431,396,431,91.87935034802784,1750000.0,1473248.75,2200000.0,13277.954646988432,11225.400457665903,15290.006685312163,132.0,0.75,0.6994949494949495
castelo branco,4. casa,8,8,8,0,8,0.0,,,,,,,,,
castelo branco,sem comparável,6,0,0,0,0,0.0,,,,,,,,,
centro,1. apartamento compacto (0-1q),22,22,22,21,22,95.45454545454545,890000.0,650000.0,980000.0,16250.0,10819.67213114754,23333.33333333333,42.0,0.6190476190476191,0.47619047619047616
centro,2. apartamento (2q),89,89,89,87,89,97.75280898876404,1150000.0,873500.0,1533030.0,13068.181818181818,10941.666666666668,15714.285714285714,86.0,0.8160919540229885,0.8390804597701149
centro,3. apartamento (3q+),871,871,871,808,871,92.76693455797934,2696500.0,1958750.0,3796200.0,16792.530149159,14054.054054054051,20827.65023474178,150.0,0.676980198019802,0.6398514851485149
centro,4. casa,17,17,17,7,17,41.1764705882353,1000000.0,599500.0,1289915.0,7679.48717948718,5476.190476190476,10422.36858974359,120.0,0.8571428571428571,0.8571428571428571
centro,sem comparável,8,0,0,0,0,0.0,,,,,,,,,
estreito,3. apartamento (3q+),5,5,5,0,5,0.0,,,,,,,,,
ilhota,1. apartamento compacto (0-1q),5,5,5,5,5,100.0,220000.0,202658.0,255000.0,5333.105263157895,5333.105263157895,6710.526315789473,38.0,0.6,0.4
ilhota,3. apartamento (3q+),23,23,23,23,23,100.0,2845125.0,2454062.5,3903189.0,18355.64516129032,15697.67441860465,20025.113970588238,154.0,0.6956521739130435,0.4782608695652174
ilhota,4. casa,22,22,22,4,22,18.181818181818183,9500000.0,1625000.0,17750225.0,7628.378378378378,6496.138996138996,9433.241590214067,992.5,1.0,0.75
