variavel,tipo,n_com,n_sem,mediana_com,mediana_sem,diferenca_bruta,ci_diff_025,ci_diff_975,ajustado_bairro_perfil,n,mediana,iqr,rho_spearman,ci_rho_025,ci_rho_975,q1,q2,q3,diaria_med_q1,diaria_med_q4
can_instant_book,binaria,201.0,288.0,593.8255760368664,643.5066638214963,-49.68108778462988,-82.08053479104103,52.55773300787116,ver modelo (M1/M2),,,,,,,,,,,
is_professional,binaria,128.0,361.0,593.3847755265501,632.9446428571429,-39.55986733059274,-69.77759966165111,323.1956586309522,ver modelo (M1/M2),,,,,,,,,,,
is_new_listing,binaria,14.0,209.0,781.2469278547658,617.1985479797979,164.04837987496785,,,ver modelo (M1/M2),,,,,,,,,,,
is_superhost,binaria,162.0,331.0,591.4733582949309,638.0241935483871,-46.55083525345617,-136.71034015937028,5.734641338500238,ver modelo (M1/M2),,,,,,,,,,,
is_verified,binaria,493.0,0.0,617.1985479797979,,,,,ver modelo (M1/M2),,,,,,,,,,,
has_reviews,binaria,474.0,19.0,613.519418843526,1000.0,-386.48058115647405,,,ver modelo (M1/M2),,,,,,,,,,,
am_ar-condicionado,binaria,335.0,158.0,625.9851277754503,605.3977220198816,20.58740575556874,-32.35723606814227,96.72596588922397,ver modelo (M1/M2),,,,,,,,,,,
am_churrasqueira,binaria,321.0,172.0,632.9446428571429,591.4795506912442,41.46509216589868,-14.874248870259494,129.98489424765884,ver modelo (M1/M2),,,,,,,,,,,
am_estacionamento incluido,binaria,365.0,128.0,632.0490196078431,582.8250737238602,49.22394588398288,-8.09847936851112,108.99718641369756,ver modelo (M1/M2),,,,,,,,,,,
am_ferro de passar,binaria,370.0,123.0,609.4077197513441,653.5625,-44.154780248655925,-96.1672614217216,43.17125032152232,ver modelo (M1/M2),,,,,,,,,,,
am_loucas e talheres,binaria,423.0,70.0,614.5227150537634,632.24540494228,-17.722689888516584,-113.10182702219255,60.42169674869631,ver modelo (M1/M2),,,,,,,,,,,
number_of_bedrooms,numerica,,,,,,,,,493.0,2.0,1.0,0.6606555534781298,0.6100856033980825,0.7099034113062338,2.0,2.0,3.0,521.6540874925329,1527.3947368421052
number_of_bathrooms,numerica,,,,,,,,,493.0,2.0,1.0,0.6433225154009139,0.5836982076566752,0.6998152443519469,1.0,2.0,2.0,470.25873655913983,925.2406394009216
number_of_beds,numerica,,,,,,,,,493.0,3.0,2.0,0.5137155459106155,0.4425608083039223,0.5803787754854807,2.0,3.0,4.0,509.1321686537267,759.9867430721691
number_of_guests,numerica,,,,,,,,,493.0,6.0,4.0,0.6089957559479277,0.5448176134922758,0.6619264807642307,4.0,6.0,8.0,505.28129800307215,1007.7954814990512
cleaning_fee,numerica,,,,,,,,,493.0,250.0,110.0,0.48362327810858174,0.39959518330832144,0.5517773631513775,190.0,250.0,300.0,496.5166484457478,804.0145660714286
picture_count,numerica,,,,,,,,,493.0,19.0,20.0,0.22844996013633478,0.14914169197814464,0.3119305921685155,9.0,19.0,29.0,562.1961596308685,720.7548520006153
amenity_count,numerica,,,,,,,,,493.0,32.0,17.0,0.017049409849527658,-0.07611647506869444,0.10977739324473,23.0,32.0,40.0,631.3356030765606,633.392569124424
years_host,numerica,,,,,,,,,493.0,5.0,3.0,-0.0021172849062886206,-0.09455446612264647,0.08506730269230021,3.0,5.0,6.0,627.8141711229946,626.9266323206139
months_host,numerica,,,,,,,,,493.0,1.0,4.0,0.059489321644301096,-0.03662437247887978,0.14407174811119028,1.0,1.0,5.0,597.3936539199309,658.0744047619048
portfolio_owner,numerica,,,,,,,,,493.0,1.0,13.0,-0.15035925136268236,-0.2291431153315698,-0.0664477178102865,1.0,1.0,14.0,632.9446428571429,583.9784304515113
number_of_reviews,numerica,,,,,,,,,493.0,14.0,17.0,-0.16103862234346475,-0.2451618926733497,-0.0729759158149173,8.0,14.0,25.0,670.20625,603.6323564072334
star_effective,numerica,,,,,,,,,493.0,4.949999809265137,0.15000009536743164,0.13675449998567135,0.04988172371386946,0.22423732857687478,4.849999904632568,4.949999809265137,5.0,586.4155303106168,660.574567214407
