airbnb_listing_id,diaria_ajustada,n_datas,coverage,n_meses,suburb_label,profile,owner_id,has_reviews,amenity_count,star_effective
1018938592594574382,,0.0,0.0,,centro,1. apartamento compacto (0-1q),545255849,False,18,5.0
991407580891691701,662.1104105571848,67.0,0.638095238095238,4.0,meia praia,3. apartamento (3q+),227777128,True,31,4.550000190734863
41074064,,0.0,0.0,,varzea,4. casa,321172190,True,17,5.0
54177663,,0.0,0.0,,meia praia,3. apartamento (3q+),389650375,False,42,5.0
51975323,,0.0,0.0,,meia praia,3. apartamento (3q+),298545921,True,12,4.5
1036307719150120163,,0.0,0.0,,meia praia,5. hotel/outros,40876651,True,12,5.0
41193865,420.5315298925213,74.0,0.7047619047619048,4.0,meia praia,3. apartamento (3q+),311642729,True,38,4.71999979019165
1225665671183261027,,0.0,0.0,,meia praia,3. apartamento (3q+),534678827,False,6,5.0
45894423,,0.0,0.0,,centro,3. apartamento (3q+),82821456,True,11,5.0
21633529,,0.0,0.0,,canto da praia,4. casa,156933100,False,11,5.0
1048799886066100123,,0.0,0.0,,tabuleiro dos oliveiras,4. casa,175320187,True,61,5.0
760325801206777466,,0.0,0.0,,meia praia,3. apartamento (3q+),108479878,False,9,5.0
1034199140186021598,,0.0,0.0,,sertaozinho,4. casa,300996669,True,6,4.400000095367432
20564012,,0.0,0.0,,centro,1. apartamento compacto (0-1q),110419832,True,24,5.0
564507628435735448,,0.0,0.0,,meia praia,2. apartamento (2q),13202409,True,11,4.329999923706055
20329580,,0.0,0.0,,meia praia,2. apartamento (2q),144986192,True,27,4.670000076293945
680483739240925875,,0.0,0.0,,meia praia,3. apartamento (3q+),204983908,False,13,5.0
31897704,,0.0,0.0,,meia praia,2. apartamento (2q),239106991,True,11,4.800000190734863
1298043421274344956,,0.0,0.0,,meia praia,3. apartamento (3q+),115900186,False,14,5.0
981207078966019606,,0.0,0.0,,meia praia,3. apartamento (3q+),489737906,False,9,5.0
822704,,0.0,0.0,,centro,3. apartamento (3q+),4320103,True,21,4.0
45973790,633.2522545402178,101.0,0.9619047619047619,4.0,meia praia,2. apartamento (2q),145049953,True,18,4.829999923706055
803572440296677315,,0.0,0.0,,centro,4. casa,256515113,False,10,5.0
