group,anuncios_inventario,anuncios_precificados,pct_precificado,pares_listing_data,mediana_cobertura_anuncio,mediana_simples_preco_anuncio,diaria_ajustada,ci_025,ci_975,bootstrap_reps_requested,bootstrap_reps_valid,ci_insuficiente,n_meses,n_datas,in_ranking,rank
meia praia,2860,632,22.097902097902097,35637,0.5619047619047619,590.0,673.6476570226426,650.8048459766206,703.9984044458215,1000,1000,False,4,105,True,1.0
tabuleiro dos oliveiras,129,20,15.503875968992247,1240,0.6238095238095238,540.0,663.0860737711214,543.8818583293679,838.1590881994621,1000,1000,False,4,103,True,2.0
canto da praia,28,9,32.142857142857146,572,0.638095238095238,599.5,917.4894584752305,575.8575613749991,1836.7951599942398,1000,1000,False,4,104,False,
morretes,441,83,18.820861678004537,4667,0.5523809523809524,471.0,525.2376606256646,482.2859443678992,582.1189275264755,1000,1000,False,4,105,True,4.0
centro,657,205,31.202435312024352,13429,0.6857142857142857,509.0,616.0345716042626,584.6846859279456,653.0322087637362,1000,1000,False,4,105,True,3.0
casa branca,88,15,17.045454545454547,863,0.580952380952381,349.0,373.0622503571429,302.3250346509217,416.2525508610059,1000,1000,False,4,99,False,
ilhota,56,10,17.857142857142858,648,0.6761904761904762,495.0,541.4607046582181,395.58008736491934,658.326200249928,1000,1000,False,4,100,False,
sertaozinho,21,6,28.571428571428573,496,0.8095238095238095,500.0,815.6639170506912,407.76294205592797,2767.0833758640547,1000,1000,False,4,104,False,
sertao do trombudo,22,3,13.636363636363637,200,0.7142857142857143,390.0,464.71979879439556,379.1631773399015,1255.8035714285716,1000,1000,False,4,89,False,
alto sao bento,62,5,8.064516129032258,288,0.5904761904761905,280.0,393.4823156682028,,,1000,931,True,4,104,False,
jardim praiamar,5,1,20.0,60,0.5714285714285714,200.0,193.03846153846155,193.03846153846155,193.03846153846155,1000,1000,False,4,60,False,
varzea,43,5,11.627906976744185,212,0.3333333333333333,450.0,1021.6986007104455,203.47785027472526,1688.913408773951,1000,990,False,4,102,False,
leopoldo zarling,18,1,5.555555555555555,70,0.6666666666666666,200.0,210.3816052764977,210.3816052764977,210.3816052764977,1000,1000,False,4,70,False,
areal,5,1,20.0,37,0.3523809523809524,556.0,,,,1000,0,True,3,37,False,
não informado,5,3,60.0,181,0.4952380952380952,709.0,692.4120343701996,,,1000,939,True,4,89,False,
